Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2016,3,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,7,73,1,0,0,0
2016,4,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2016,5,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
2016,6,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2016,7,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
2016,8,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,0
2016,12,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
2016,14,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0
2016,15,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2016,16,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
2016,17,Dallas Goedert,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
