Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,5,119,0,0,0,0
2018,2,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,13,121,1,0,0,0
2018,3,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,9,116,0,0,0,0
2018,4,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0
2018,5,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0
2018,6,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,7,111,0,1,1,0
2018,8,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
2018,9,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,7,78,0,0,0,0
2018,10,JuJu Smith-Schuster,0,0,0,0,0,0,1,13,0,0,0,3,90,1,0,0,0
2018,11,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,8,104,0,0,0,0
2018,12,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,13,189,1,0,0,0
2018,13,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,6,49,0,0,0,0
2018,14,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,8,130,2,0,0,0
2018,15,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
2018,16,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,11,115,0,0,0,1
2018,17,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,5,37,1,0,0,0
