Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Devontae Booker,0,0,0,0,0,0,2,4,0,0,0,2,11,0,0,0,0
2018,2,Devontae Booker,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0
2018,3,Devontae Booker,0,0,0,0,0,0,5,10,0,0,0,5,34,0,0,0,0
2018,4,Devontae Booker,0,0,0,0,0,0,1,5,0,0,0,1,9,0,0,0,0
2018,5,Devontae Booker,0,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
2018,6,Devontae Booker,0,0,0,0,0,0,2,15,0,0,0,2,14,0,0,0,0
2018,7,Devontae Booker,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
2018,8,Devontae Booker,0,0,0,0,0,0,9,78,0,0,0,4,23,0,0,0,0
2018,9,Devontae Booker,0,0,0,0,0,0,3,15,1,0,0,2,9,0,0,0,1
2018,11,Devontae Booker,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2018,12,Devontae Booker,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2018,13,Devontae Booker,0,0,0,0,0,0,1,4,0,0,0,2,38,0,0,0,0
2018,14,Devontae Booker,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
2018,15,Devontae Booker,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2018,16,Devontae Booker,0,0,0,0,0,0,3,21,0,0,0,3,21,0,0,0,0
2018,17,Devontae Booker,0,0,0,0,0,0,5,14,0,0,0,5,20,0,0,0,0
