Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Kareem Hunt,0,0,0,0,0,0,16,49,0,0,0,0,0,0,0,0,0
2016,2,Kareem Hunt,0,0,0,0,0,0,18,75,0,0,0,1,5,1,0,0,0
2016,3,Kareem Hunt,0,0,0,0,0,0,18,44,2,0,0,0,0,0,0,0,0
2016,4,Kareem Hunt,0,0,0,0,0,0,19,121,1,0,0,3,54,0,0,0,0
2016,5,Kareem Hunt,0,0,0,0,0,0,22,87,1,0,0,1,7,0,0,0,0
2016,6,Kareem Hunt,0,0,0,0,0,0,10,80,0,0,0,5,105,1,0,0,0
2016,7,Kareem Hunt,0,0,0,0,0,0,15,86,1,0,0,5,55,2,0,0,0
2016,8,Kareem Hunt,0,0,0,0,0,0,16,50,0,0,0,5,36,1,0,0,0
2016,9,Kareem Hunt,0,0,0,0,0,0,17,91,2,0,0,1,50,1,0,0,0
2016,10,Kareem Hunt,0,0,0,0,0,0,16,71,0,0,0,2,25,0,0,0,0
2016,11,Kareem Hunt,0,0,0,0,0,0,14,70,0,0,0,3,41,1,0,0,0
