Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Ezekiel Elliott,0,0,0,0,0,0,15,69,1,0,0,3,17,0,0,0,0
2018,2,Ezekiel Elliott,0,0,0,0,0,0,17,78,1,0,0,5,9,0,0,0,0
2018,3,Ezekiel Elliott,0,0,0,0,0,0,16,127,0,0,0,3,11,0,0,0,1
2018,4,Ezekiel Elliott,0,0,0,0,0,0,25,152,0,0,0,4,88,1,0,0,1
2018,5,Ezekiel Elliott,0,0,0,0,0,0,20,54,0,0,0,7,30,0,0,0,0
2018,6,Ezekiel Elliott,0,0,0,0,0,0,24,106,1,0,0,1,11,0,0,0,0
2018,7,Ezekiel Elliott,0,0,0,0,0,0,15,33,0,0,0,2,9,0,0,0,0
2018,9,Ezekiel Elliott,0,0,0,0,0,0,17,61,0,0,0,4,51,0,0,0,0
2018,10,Ezekiel Elliott,0,0,0,0,0,0,19,151,1,0,0,6,36,1,0,0,1
2018,11,Ezekiel Elliott,0,0,0,0,0,0,23,122,1,0,0,7,79,0,0,0,1
2018,12,Ezekiel Elliott,0,0,0,0,0,0,26,121,1,0,0,5,22,0,0,0,0
2018,13,Ezekiel Elliott,0,0,0,0,0,0,23,75,0,0,0,6,60,1,0,0,0
2018,14,Ezekiel Elliott,0,0,0,0,0,0,28,113,0,0,0,12,79,0,0,0,0
2018,15,Ezekiel Elliott,0,0,0,0,0,0,18,87,0,0,0,7,41,0,0,0,1
2018,16,Ezekiel Elliott,0,0,0,0,0,0,18,85,0,0,0,5,24,0,0,0,1
