Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,4,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2016,5,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2016,6,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2016,7,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2016,8,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
2016,9,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0
2016,11,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,12,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,3,34,1,0,0,0
2016,14,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2016,15,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
2016,17,Matt LaCosse,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
