Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
2017,2,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2017,3,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2017,4,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
2017,5,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2017,6,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2017,8,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
2017,9,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,10,83,1,0,0,0
2017,11,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0
2017,12,Jeff Heuerman,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
