Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Rod Smith,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
2016,4,Rod Smith,0,0,0,0,0,0,6,22,0,0,0,1,0,0,0,0,0
2016,5,Rod Smith,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0
2016,6,Rod Smith,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
2016,9,Rod Smith,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2016,10,Rod Smith,0,0,0,0,0,0,2,8,0,0,0,1,14,0,0,0,0
2016,11,Rod Smith,0,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0
2016,12,Rod Smith,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
2016,13,Rod Smith,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
2016,14,Rod Smith,0,0,0,0,0,0,4,27,0,0,0,2,16,0,0,0,0
2016,15,Rod Smith,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0
2016,16,Rod Smith,0,0,0,0,0,0,2,-7,0,0,0,0,0,0,0,0,0
2016,17,Rod Smith,0,0,0,0,0,0,12,35,1,0,0,2,14,0,0,0,0
