Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,4,Alex Erickson,0,0,0,0,0,0,1,8,0,0,0,1,8,0,0,0,0
2018,5,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
2018,6,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
2018,7,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
2018,8,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2018,13,Alex Erickson,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1
2018,14,Alex Erickson,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0
2018,15,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2018,16,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
2018,17,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
