Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,5,Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,0
2018,6,Julian Edelman,0,0,0,0,0,0,1,7,0,0,0,4,54,1,0,0,0
2018,7,Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,5,36,1,0,0,1
2018,8,Julian Edelman,0,0,0,0,0,0,2,13,0,0,0,9,104,0,0,0,0
2018,9,Julian Edelman,1,37,0,0,0,0,2,28,0,0,0,6,71,0,0,0,0
2018,10,Julian Edelman,1,6,0,0,0,0,0,0,0,0,0,9,104,0,0,0,0
2018,12,Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,4,84,1,0,0,0
2018,13,Julian Edelman,0,0,0,0,0,0,2,35,0,0,0,3,25,0,0,0,0
2018,14,Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,9,86,1,0,0,0
2018,15,Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,0
2018,16,Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,6,70,1,0,0,0
2018,17,Julian Edelman,0,0,0,0,0,0,2,24,0,0,0,5,69,1,0,0,0
