Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
2016,2,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,2,63,0,0,0,0
2016,3,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2016,4,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
2016,5,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
2016,6,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0
2016,7,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
2016,8,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,0
2016,9,Zay Jones,0,0,0,0,0,0,1,0,0,0,0,4,18,0,0,0,0
2016,10,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,8,93,1,0,0,1
2016,13,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,4,67,2,1,1,0
2016,14,Zay Jones,1,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2016,15,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2016,16,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,5,67,1,0,0,0
2016,17,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,6,93,2,0,0,0
