Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,2,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2017,3,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
2017,4,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1
2017,5,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
2017,8,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2017,9,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,6,52,1,0,0,0
2017,10,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
2017,11,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2017,12,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2017,13,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2017,14,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2017,16,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
2017,17,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
