Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2017,4,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0
2017,5,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,7,68,1,1,0,0
2017,6,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,3,103,0,0,0,0
2017,8,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,2,45,1,0,0,0
2017,9,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,3,101,0,0,0,0
2017,10,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,6,44,0,0,0,0
2017,11,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,12,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2017,13,Marquez Valdes-Scantling,0,0,0,0,0,0,2,29,0,0,0,2,19,0,0,0,0
2017,14,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2017,15,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2017,16,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0
2017,17,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
