Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Amari Cooper,0,0,0,0,0,0,1,9,0,0,0,1,9,0,0,0,0
2018,2,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,10,116,0,0,0,0
2018,3,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2018,4,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,8,128,1,0,0,0
2018,5,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2018,9,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,5,58,1,0,0,0
2018,10,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0
2018,11,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
2018,12,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,8,180,2,0,0,0
2018,13,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,1
2018,14,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,10,217,3,0,0,0
2018,15,Amari Cooper,0,0,0,0,0,0,1,11,0,0,0,4,32,0,0,0,0
2018,16,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0
2018,17,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,1
