Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
2018,2,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2018,3,Adam Humphries,0,0,0,0,0,0,1,4,0,0,0,3,30,0,0,0,0
2018,4,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,6,36,0,0,0,0
2018,6,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,3,82,0,0,0,0
2018,7,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
2018,8,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0
2018,9,Adam Humphries,0,0,0,0,0,0,1,7,0,0,0,8,82,2,0,0,0
2018,10,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,2,53,0,0,0,0
2018,11,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0
2018,12,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,6,54,1,0,0,0
2018,13,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,7,61,1,0,0,1
2018,14,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
2018,15,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0
2018,16,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,10,79,0,0,0,0
2018,17,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,5,66,0,1,0,1
