Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Dion Lewis,0,0,0,0,0,0,16,75,1,0,0,5,35,0,0,0,0
2016,2,Dion Lewis,0,0,0,0,0,0,14,42,0,0,0,1,1,0,0,0,0
2016,3,Dion Lewis,0,0,0,0,0,0,9,26,0,0,0,3,14,0,0,0,0
2016,4,Dion Lewis,0,0,0,0,0,0,4,0,0,0,0,9,66,0,0,0,0
2016,5,Dion Lewis,0,0,0,0,0,0,12,34,0,0,0,3,14,0,0,0,1
2016,6,Dion Lewis,0,0,0,0,0,0,5,9,0,0,0,2,5,0,0,0,0
2016,7,Dion Lewis,0,0,0,0,0,0,13,91,0,0,0,6,64,0,0,0,0
2016,9,Dion Lewis,0,0,0,0,0,0,19,62,0,0,0,4,60,1,0,0,0
2016,10,Dion Lewis,0,0,0,0,0,0,20,57,0,0,0,2,11,0,0,0,0
2016,11,Dion Lewis,0,0,0,0,0,0,10,24,0,0,0,1,8,0,0,0,0
2016,12,Dion Lewis,0,0,0,0,0,0,7,8,0,0,0,7,33,0,0,0,0
2016,13,Dion Lewis,0,0,0,0,0,0,6,36,0,0,0,2,-2,0,0,0,0
2016,14,Dion Lewis,0,0,0,0,0,0,10,13,0,0,0,5,39,0,0,0,0
2016,15,Dion Lewis,0,0,0,0,0,0,7,35,0,0,0,3,9,0,0,0,0
2016,17,Dion Lewis,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
