Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
2016,3,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
2016,4,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2016,5,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,7,61,1,0,0,1
2016,7,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,8,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2016,10,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2016,13,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2016,14,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,15,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2016,16,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
2016,17,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,3,17,0,1,1,0
