Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Dalvin Cook,0,0,0,0,0,0,16,40,0,0,0,6,55,0,0,0,1
2016,2,Dalvin Cook,0,0,0,0,0,0,10,38,0,0,0,3,52,0,0,0,0
2016,4,Dalvin Cook,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0
2016,9,Dalvin Cook,0,0,0,0,0,0,10,89,0,0,0,4,20,0,0,0,0
2016,11,Dalvin Cook,0,0,0,0,0,0,9,12,0,0,0,3,-2,0,0,0,1
2016,12,Dalvin Cook,0,0,0,0,0,0,10,29,0,0,0,3,47,1,0,0,0
2016,13,Dalvin Cook,0,0,0,0,0,0,9,84,0,0,0,8,22,0,0,0,0
2016,14,Dalvin Cook,0,0,0,0,0,0,13,55,0,0,0,5,28,1,0,0,0
2016,15,Dalvin Cook,0,0,0,0,0,0,19,136,2,0,0,1,27,0,0,0,0
2016,16,Dalvin Cook,0,0,0,0,0,0,16,73,0,0,0,3,35,0,0,0,0
2016,17,Dalvin Cook,0,0,0,0,0,0,11,39,0,0,0,4,21,0,0,0,0
