Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
2018,2,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,1
2018,3,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
2018,4,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0
2018,5,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2018,6,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
2018,7,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2018,9,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
2018,10,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
2018,11,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,7,74,2,0,0,0
2018,13,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,3,25,1,0,0,0
2018,14,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2018,15,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2018,16,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,1
