Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
2018,2,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2018,3,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
2018,4,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2018,5,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2018,6,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2018,11,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
2018,12,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2018,13,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2018,14,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
2018,16,Jordan Akins,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
