Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Tevin Coleman,0,0,0,0,0,0,9,19,1,0,0,1,26,0,0,0,0
2018,2,Tevin Coleman,0,0,0,0,0,0,16,107,0,0,0,4,18,0,0,0,1
2018,3,Tevin Coleman,0,0,0,0,0,0,15,33,0,0,0,2,14,1,0,0,0
2018,4,Tevin Coleman,0,0,0,0,0,0,14,51,0,0,0,3,26,0,0,0,0
2018,5,Tevin Coleman,0,0,0,0,0,0,7,15,0,0,0,2,15,0,0,0,0
2018,6,Tevin Coleman,0,0,0,0,0,0,10,35,0,0,0,1,6,1,0,0,0
2018,7,Tevin Coleman,0,0,0,0,0,0,11,50,1,0,0,2,32,0,0,0,0
2018,9,Tevin Coleman,0,0,0,0,0,0,13,88,0,0,0,5,68,2,0,0,0
2018,10,Tevin Coleman,0,0,0,0,0,0,11,44,0,0,0,3,19,0,0,0,0
2018,11,Tevin Coleman,0,0,0,0,0,0,8,58,0,0,0,3,27,0,0,0,0
2018,12,Tevin Coleman,0,0,0,0,0,0,8,6,0,0,0,3,17,1,0,0,0
2018,13,Tevin Coleman,0,0,0,0,0,0,6,8,0,0,0,1,3,0,0,0,1
2018,14,Tevin Coleman,0,0,0,0,0,0,10,45,0,0,0,1,-4,0,0,0,0
2018,15,Tevin Coleman,0,0,0,0,0,0,11,145,1,0,0,0,0,0,0,0,0
2018,16,Tevin Coleman,0,0,0,0,0,0,10,51,0,0,0,0,0,0,0,0,0
2018,17,Tevin Coleman,0,0,0,0,0,0,8,45,1,0,0,1,9,0,0,0,0
