Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
2016,3,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
2016,4,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,7,77,0,0,0,0
2016,5,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,1
2016,6,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2016,7,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0
2016,9,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2016,13,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,3,104,0,0,0,0
2016,14,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,6,59,0,0,0,0
2016,15,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2016,17,Taywan Taylor,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
